ingredient_id,canonical_inn,name,locale,name_type,source_id,confidence,atc_code,notes
ing-ceftriaxone,Цефтріаксон,tseftriakson,uk-Latn,transliteration,project_generated_transliteration,high,J01DD04,v0.9 deterministic transliteration
ing-ceftriaxone,Цефтріаксон,Цефтріаксон,uk,ukrainian,public_generic_inn,verified,J01DD04,v0.9 curated generic batch
ing-cefuroxime,Цефуроксим,Cefuroxime,en,english,public_generic_inn,verified,J01DC02,v0.9 curated generic batch
ing-cefuroxime,Цефуроксим,Cefuroximum,la,latin,public_generic_inn,verified,J01DC02,v0.9 curated generic batch
ing-cefuroxime,Цефуроксим,tsefuroksym,uk-Latn,transliteration,project_generated_transliteration,high,J01DC02,v0.9 deterministic transliteration
ing-cefuroxime,Цефуроксим,Цефуроксим,uk,ukrainian,public_generic_inn,verified,J01DC02,v0.9 curated generic batch
ing-ciprofloxacin,Ципрофлоксацин,Ciprofloxacin,en,english,public_generic_inn,verified,J01MA02,v0.9 curated generic batch
ing-ciprofloxacin,Ципрофлоксацин,Ciprofloxacinum,la,latin,public_generic_inn,verified,J01MA02,v0.9 curated generic batch
ing-ciprofloxacin,Ципрофлоксацин,tsyprofloksatsyn,uk-Latn,transliteration,project_generated_transliteration,high,J01MA02,v0.9 deterministic transliteration
ing-ciprofloxacin,Ципрофлоксацин,Ципрофлоксацин,uk,ukrainian,public_generic_inn,verified,J01MA02,v0.9 curated generic batch
