ingredient_id,canonical_inn,name,locale,name_type,source_id,confidence,atc_code,notes
ing-codeine,Кодеїн,kodein,uk-Latn,transliteration,project_generated_transliteration,high,R05DA04,v0.9 deterministic transliteration
ing-codeine,Кодеїн,Кодеїн,uk,ukrainian,public_generic_inn,verified,R05DA04,v0.9 curated generic batch
ing-xylometazoline,Ксилометазолін,Xylometazoline,en,english,public_generic_inn,verified,R01AA07,v0.9 curated generic batch
ing-xylometazoline,Ксилометазолін,Xylometazolinum,la,latin,public_generic_inn,verified,R01AA07,v0.9 curated generic batch
ing-xylometazoline,Ксилометазолін,ksylometazolin,uk-Latn,transliteration,project_generated_transliteration,high,R01AA07,v0.9 deterministic transliteration
ing-xylometazoline,Ксилометазолін,Ксилометазолін,uk,ukrainian,public_generic_inn,verified,R01AA07,v0.9 curated generic batch
ing-levocetirizine,Левоцетиризин,Levocetirizine,en,english,public_generic_inn,verified,R06AE09,v0.9 curated generic batch
ing-levocetirizine,Левоцетиризин,Levocetirizinum,la,latin,public_generic_inn,verified,R06AE09,v0.9 curated generic batch
ing-levocetirizine,Левоцетиризин,levotsetyryzyn,uk-Latn,transliteration,project_generated_transliteration,high,R06AE09,v0.9 deterministic transliteration
ing-levocetirizine,Левоцетиризин,Левоцетиризин,uk,ukrainian,public_generic_inn,verified,R06AE09,v0.9 curated generic batch
ing-loratadine,Лоратадин,Loratadine,en,english,public_generic_inn,verified,R06AX13,v0.9 curated generic batch
ing-loratadine,Лоратадин,Loratadinum,la,latin,public_generic_inn,verified,R06AX13,v0.9 curated generic batch
ing-loratadine,Лоратадин,loratadyn,uk-Latn,transliteration,project_generated_transliteration,high,R06AX13,v0.9 deterministic transliteration
ing-loratadine,Лоратадин,Лоратадин,uk,ukrainian,public_generic_inn,verified,R06AX13,v0.9 curated generic batch
ing-montelukast,Монтелукаст,Montelukast,en,english,public_generic_inn,verified,R03DC03,v0.9 curated generic batch
ing-montelukast,Монтелукаст,Montelukastum,la,latin,public_generic_inn,verified,R03DC03,v0.9 curated generic batch
ing-montelukast,Монтелукаст,Монтелукаст,uk,ukrainian,public_generic_inn,verified,R03DC03,v0.9 curated generic batch
ing-oxymetazoline,Оксиметазолін,Oxymetazoline,en,english,public_generic_inn,verified,R01AA05,v0.9 curated generic batch
ing-oxymetazoline,Оксиметазолін,Oxymetazolinum,la,latin,public_generic_inn,verified,R01AA05,v0.9 curated generic batch
ing-oxymetazoline,Оксиметазолін,oksymetazolin,uk-Latn,transliteration,project_generated_transliteration,high,R01AA05,v0.9 deterministic transliteration
ing-oxymetazoline,Оксиметазолін,Оксиметазолін,uk,ukrainian,public_generic_inn,verified,R01AA05,v0.9 curated generic batch
ing-salbutamol,Сальбутамол,Salbutamol,en,english,public_generic_inn,verified,R03AC02,v0.9 curated generic batch
ing-salbutamol,Сальбутамол,Salbutamolum,la,latin,public_generic_inn,verified,R03AC02,v0.9 curated generic batch
ing-salbutamol,Сальбутамол,Сальбутамол,uk,ukrainian,public_generic_inn,verified,R03AC02,v0.9 curated generic batch
ing-fexofenadine,Фексофенадин,Fexofenadine,en,english,public_generic_inn,verified,R06AX26,v0.9 curated generic batch
ing-fexofenadine,Фексофенадин,Fexofenadinum,la,latin,public_generic_inn,verified,R06AX26,v0.9 curated generic batch
ing-fexofenadine,Фексофенадин,feksofenadyn,uk-Latn,transliteration,project_generated_transliteration,high,R06AX26,v0.9 deterministic transliteration
ing-fexofenadine,Фексофенадин,Фексофенадин,uk,ukrainian,public_generic_inn,verified,R06AX26,v0.9 curated generic batch
ing-fenspiride,Фенспірид,Fenspiride,en,english,public_generic_inn,verified,R03DX03,v0.9 curated generic batch
ing-fenspiride,Фенспірид,Fenspiridum,la,latin,public_generic_inn,verified,R03DX03,v0.9 curated generic batch
ing-fenspiride,Фенспірид,fenspiryd,uk-Latn,transliteration,project_generated_transliteration,high,R03DX03,v0.9 deterministic transliteration
ing-fenspiride,Фенспірид,Фенспірид,uk,ukrainian,public_generic_inn,verified,R03DX03,v0.9 curated generic batch
ing-chloropyramine,Хлоропірамін,Chloropyramine,en,english,public_generic_inn,verified,R06AC03,v0.9 curated generic batch
ing-chloropyramine,Хлоропірамін,Chloropyraminum,la,latin,public_generic_inn,verified,R06AC03,v0.9 curated generic batch
ing-chloropyramine,Хлоропірамін,khloropiramin,uk-Latn,transliteration,project_generated_transliteration,high,R06AC03,v0.9 deterministic transliteration
ing-chloropyramine,Хлоропірамін,Хлоропірамін,uk,ukrainian,public_generic_inn,verified,R06AC03,v0.9 curated generic batch
ing-cetirizine,Цетиризин,Cetirizine,en,english,public_generic_inn,verified,R06AE07,v0.9 curated generic batch
ing-cetirizine,Цетиризин,Cetirizinum,la,latin,public_generic_inn,verified,R06AE07,v0.9 curated generic batch
ing-cetirizine,Цетиризин,tsetyryzyn,uk-Latn,transliteration,project_generated_transliteration,high,R06AE07,v0.9 deterministic transliteration
ing-cetirizine,Цетиризин,Цетиризин,uk,ukrainian,public_generic_inn,verified,R06AE07,v0.9 curated generic batch
