ingredient_id,canonical_inn,name,locale,name_type,source_id,confidence,atc_code,notes
ing-rabeprazole,Рабепразол,rabeprazol,uk-Latn,transliteration,project_generated_transliteration,high,A02BC04,v0.9 deterministic transliteration
ing-rabeprazole,Рабепразол,Рабепразол,uk,ukrainian,public_generic_inn,verified,A02BC04,v0.9 curated generic batch
ing-simethicone,Симетикон,Simethicone,en,english,public_generic_inn,verified,A03AX13,v0.9 curated generic batch
ing-simethicone,Симетикон,Simeticonum,la,latin,public_generic_inn,verified,A03AX13,v0.9 curated generic batch
ing-simethicone,Симетикон,symetykon,uk-Latn,transliteration,project_generated_transliteration,high,A03AX13,v0.9 deterministic transliteration
ing-simethicone,Симетикон,Симетикон,uk,ukrainian,public_generic_inn,verified,A03AX13,v0.9 curated generic batch
ing-ursodeoxycholic-acid,Урсодезоксихолева кислота,Ursodeoxycholic acid,en,english,public_generic_inn,verified,A05AA02,v0.9 curated generic batch
ing-ursodeoxycholic-acid,Урсодезоксихолева кислота,Acidum ursodeoxycholicum,la,latin,public_generic_inn,verified,A05AA02,v0.9 curated generic batch
ing-ursodeoxycholic-acid,Урсодезоксихолева кислота,ursodezoksykholeva kyslota,uk-Latn,transliteration,project_generated_transliteration,high,A05AA02,v0.9 deterministic transliteration
ing-ursodeoxycholic-acid,Урсодезоксихолева кислота,Урсодезоксихолева кислота,uk,ukrainian,public_generic_inn,verified,A05AA02,v0.9 curated generic batch
ing-famotidine,Фамотидин,Famotidine,en,english,public_generic_inn,verified,A02BA03,v0.9 curated generic batch
ing-famotidine,Фамотидин,Famotidinum,la,latin,public_generic_inn,verified,A02BA03,v0.9 curated generic batch
ing-famotidine,Фамотидин,famotydyn,uk-Latn,transliteration,project_generated_transliteration,high,A02BA03,v0.9 deterministic transliteration
ing-famotidine,Фамотидин,Фамотидин,uk,ukrainian,public_generic_inn,verified,A02BA03,v0.9 curated generic batch
